004e  W  4e
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
004f  W  4f
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0050  W  50
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0051  W  51
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0052  W  52
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0053  W  53
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0054  W  54
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0055  W  55
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0056  W  56
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0057  W  57
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0058  W  58
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0059  W  59
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
005a  W  5a
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
005b  W  5b
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
