8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
019a  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  66
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0199  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  67
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0198  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  68
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0197  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  69
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0196  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  6a
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0195  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  6b
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0194  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  6c
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0193  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  6d
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0192  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  6e
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0191  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  6f
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0190  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  70
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
018f  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  71
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
018e  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  72
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
018d  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  73
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
018c  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  74
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
018b  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  75
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
018a  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  76
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0189  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  77
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0188  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  78
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0187  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  79
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0186  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  7a
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0185  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  7b
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0184  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  7c
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0183  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  7d
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0182  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  7e
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0181  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  7f
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0180  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  80
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
017f  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  81
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
017e  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  82
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
017d  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  83
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
017c  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  84
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
017b  W  b0
801f  R  8d
